Item ID,Parent ID,Workstream,Area,Feature/Module,Task Title,Task Type,Source Document,Source Ref,Phase,Priority,Owner,Status,Dependencies,Deliverable Or Evidence,Acceptance Criteria,Notes
DES-CW-001,EPIC-MVP,Design,Cowrywise,Linkage,Design combined PhlipVerify plus Cowrywise readiness status FR-06,Design,PRD,FR-06,MVP,P0,,Not Started,DES-KYC-001,Figma states,Invest and withdraw gated messaging clear,,
DEV-CW-001,EPIC-MVP,Development,Cowrywise,Linkage,Implement account create or link when policy allows FR-04 FR-05,Build,PRD,FR-04 FR-05,MVP,P0,,Not Started,DEV-KYC-003,PR plus Cowrywise integration test,Identifiers stored one primary linkage,,
DEV-CW-002,EPIC-MVP,Development,Cowrywise,Server-side,Ensure all Cowrywise calls server-side only FR-07,Build,PRD,FR-07,MVP,P0,,Not Started,DEV-CW-001,Architecture review,No mobile direct Cowrywise with secrets,,
DEV-CW-003,EPIC-MVP,Development,Cowrywise,Sync,Sync combined status from DB and webhooks FR-06,Build,PRD,FR-06,MVP,P0,,Not Started,DEV-CW-001,PR plus jobs,Status accurate for invest withdraw gates,,
QA-CW-001,EPIC-MVP,QA,Cowrywise,Linkage,Test FR-04 through FR-07,Test,PRD,FR-04 to FR-07,MVP,P0,,Not Started,DEV-CW-003,Test report,Linkage errors actionable,,
FLO-002-CHECK,EPIC-MVP,Documentation,Flowchart,Flow 2,Align returning user fund and invest flow with tasks,Doc Check,Flowcharts,Section 2,MVP,P0,,Not Started,DOC-FLOW-COVERAGE,Checklist,Fund refresh and invest covered,,
DES-CAT-001,EPIC-MVP,Design,Product catalog,BR3,Design product list detail filters and empty error states FR-08 FR-09 FR-10,Design,PRD,FR-08 FR-09 FR-10,MVP,P0,,Not Started,DES-IA-001,Figma plus disclaimer pattern,Fair financial promotion reviewed,,
DEV-CAT-001,EPIC-MVP,Development,Product catalog,BR3,Implement catalog fetch filters and product detail FR-08 FR-09 FR-10,Build,PRD,FR-08 FR-09 FR-10,MVP,P0,,Not Started,DES-CAT-001,PR plus tests,List matches API filters work,,
QA-CAT-001,EPIC-MVP,QA,Product catalog,BR3,Test FR-08 FR-09 FR-10,Test,PRD,FR-08 to FR-10,MVP,P0,,Not Started,DEV-CAT-001,Test report,Empty and error states verified,,
DES-WAL-001,EPIC-MVP,Design,Wallet,BR4,Design wallet balance VA details and funding instructions FR-11 FR-12 FR-13,Design,PRD,FR-11 FR-12 FR-13,MVP,P0,,Not Started,DES-IA-001,Figma screens,Stale balance messaging pattern,,
DEV-WAL-001,EPIC-MVP,Development,Wallet,BR4,Implement wallet balance VA and refresh poll or webhook FR-11 FR-12 FR-13,Build,PRD,FR-11 FR-12 FR-13,MVP,P0,,Not Started,DES-WAL-001;DEV-CW-001,PR plus sync,Balance updates within acceptable delay,,
QA-WAL-001,EPIC-MVP,QA,Wallet,BR4,Test FR-11 FR-12 FR-13,Test,PRD,FR-11 to FR-13,MVP,P0,,Not Started,DEV-WAL-001,Test report,Funding path validated in staging,,
DES-INV-001,EPIC-MVP,Design,Invest,BR5,Design invest amount validation confirm summary success error FR-14 FR-15 FR-17,Design,PRD,FR-14 FR-15 FR-17,MVP,P0,,Not Started,DES-CAT-001,Figma flow,Explicit confirm no one-tap invest,,
DEV-INV-001,EPIC-MVP,Development,Invest,BR5,Implement invest with validation confirm and idempotency FR-14 FR-15 FR-16 FR-17,Build,PRD,FR-14 FR-15 FR-16 FR-17,MVP,P0,,Not Started,DES-INV-001;DEV-WAL-001,PR plus idempotency tests,Structured errors no silent failure,,
QA-INV-001,EPIC-MVP,QA,Invest,BR5,Test FR-14 through FR-17 including retry,Test,PRD,FR-14 to FR-17,MVP,P0,,Not Started,DEV-INV-001,Test report,Insufficient funds and min max covered,,
FLO-001-E2E,EPIC-MVP,QA,E2E,Flow 1-2,End-to-end new and returning user fund and invest,Test,Flowcharts,Sections 1-2,MVP,P0,,Not Started,QA-INV-001;QA-WAL-001,E2E report,Happy paths pass in staging,,
DES-PORT-001,EPIC-MVP,Design,Portfolio,BR6,Design positions history dashboard summary transaction detail FR-18 FR-19 FR-20 FR-21,Design,PRD,FR-18 FR-19 FR-20 FR-21,MVP,P0,,Not Started,DES-IA-001,Figma screens,Pagination and filters pattern,,
DEV-PORT-001,EPIC-MVP,Development,Portfolio,BR6,Implement positions history dashboard and txn detail FR-18 FR-19 FR-20 FR-21,Build,PRD,FR-18 FR-19 FR-20 FR-21,MVP,P0,,Not Started,DES-PORT-001;DEV-INV-001,PR plus pagination,Graceful missing metrics,,
QA-PORT-001,EPIC-MVP,QA,Portfolio,BR6,Test FR-18 through FR-21,Test,PRD,FR-18 to FR-21,MVP,P0,,Not Started,DEV-PORT-001,Test report,Consistent with API within lag,,
DES-WDR-001,EPIC-MVP,Design,Withdraw,BR7,Design withdraw redeem eligibility amount confirm status timeline FR-22 FR-23 FR-24,Design,PRD,FR-22 FR-23 FR-24,MVP,P0,,Not Started,DES-PORT-001,Figma plus copy draft,Honest SLA messaging,,
DEV-WDR-001,EPIC-MVP,Development,Withdraw,BR7,Implement withdrawal or redemption per product rules FR-22 FR-23 FR-24,Build,PRD,FR-22 FR-23 FR-24,MVP,P0,,Not Started,DES-WDR-001;DEV-INV-001,PR plus status polling,Only when API supports,,
QA-WDR-001,EPIC-MVP,QA,Withdraw,BR7,Test FR-22 FR-23 FR-24,Test,PRD,FR-22 to FR-24,MVP,P0,,Not Started,DEV-WDR-001,Test report,Unsupported product messaging verified,,
FLO-003-CHECK,EPIC-MVP,Documentation,Flowchart,Flow 3,Align withdraw redeem flow with tasks,Doc Check,Flowcharts,Section 3,MVP,P0,,Not Started,DOC-FLOW-COVERAGE,Checklist,Withdraw path covered,,
FLO-003-E2E,EPIC-MVP,QA,E2E,Flow 3,End-to-end withdraw where supported,Test,Flowcharts,Section 3,MVP,P1,,Not Started,QA-WDR-001,E2E report,Pending to completed in activity,,
DES-SEC-001,EPIC-MVP,Design,Compliance,BR8,Design privacy notice placement and settings FR-26,Design,PRD,FR-26,MVP,P0,,Not Started,DES-IA-001,Copy deck plus screens,NDPR topics covered in UX,,
DEV-SEC-001,EPIC-MVP,Development,Compliance,BR8,Privacy notice surfaces and consent audit FR-25 FR-26,Build,PRD,FR-25 FR-26,MVP,P0,,Not Started,DES-SEC-001;DEV-COMP-001,PR,Privacy available at registration and settings,,
DEV-SEC-002,EPIC-MVP,Development,Security,Secrets and mobile baseline,No secrets in mobile TLS secure token storage FR-27 FR-28,Build,PRD,FR-27 FR-28,MVP,P0,,Not Started,,CI secret scan plus checklist,Meets acceptance criteria,,
QA-SEC-001,EPIC-MVP,QA,Compliance,BR8,Test FR-25 FR-26 FR-27 FR-28,Test,PRD,FR-25 to FR-28,MVP,P0,,Not Started,DEV-SEC-002,Security QA report,Baseline mobile security satisfied,,
DES-ADM-001,EPIC-MVP,Design,Web admin,System IA,Design admin information architecture navigation and page inventory,Design,PRD,Section 6,MVP,P1,,Not Started,,Figma site map and nav spec,All admin areas and primary actions are represented,,
DES-ADM-002,EPIC-MVP,Design,Web admin,Auth and RBAC,Design staff login MFA role-based access and permission-denied states,Design,PRD,Section 6 Auth + RBAC,MVP,P1,,Not Started,DES-ADM-001,Figma auth flows and RBAC matrix,RBAC reflected in screens and route guards,,
DES-ADM-003,EPIC-MVP,Design,Web admin,Dashboard FR-45,Design aggregate metrics dashboard cards charts and empty states,Design,PRD,FR-45,MVP,P1,,Not Started,DES-ADM-001,Figma dashboard screens,Metrics definitions and refresh cadence are clear,,
DES-ADM-004,EPIC-MVP,Design,Web admin,Users and Linkage,Design user search and read-only profile linkage and KYC status pages,Design,PRD,Section 6 Users + Linkage,MVP,P1,,Not Started,DES-ADM-001,Figma user detail screens,Support can locate and explain user status quickly,,
DES-ADM-005,EPIC-MVP,Design,Web admin,History FR-46,Design global and per-user investment history with filters and exports,Design,PRD,FR-46,MVP,P1,,Not Started,DES-ADM-001,Figma tables and filter UX,History views support required filter combinations,,
DES-ADM-006,EPIC-MVP,Design,Web admin,Products FR-47,Design product offerings view visibility toggles and metadata editor,Design,PRD,FR-47,MVP,P1,,Not Started,DES-ADM-001,Figma product management screens,Visibility toggles and copy edits are unambiguous,,
DES-ADM-007,EPIC-MVP,Design,Web admin,Support and Escalation,Design support notes escalation flow and error-reference lookup,Design,PRD,Section 6 Support + Flowchart 5,MVP,P1,,Not Started,DES-ADM-004,Figma support workflow,Escalation handoff and ticket linkage are clear,,
DEV-ADM-001,EPIC-MVP,Development,Web admin,Auth and RBAC,Implement staff auth session management MFA hooks and RBAC middleware,Build,PRD,Section 6 Auth + RBAC,MVP,P1,,Not Started,DES-ADM-002;DB-002,PR with auth and role guards,Only authorized roles can access protected routes,,
DEV-ADM-002,EPIC-MVP,Development,Web admin,Dashboard FR-45,Implement aggregate metrics endpoints and dashboard widgets FR-45,Build,PRD,FR-45,MVP,P1,,Not Started,DES-ADM-003;DEV-ADM-001,PR plus metrics queries,Dashboard values reconcile with reporting sources,,
DEV-ADM-003,EPIC-MVP,Development,Web admin,User Lookup,Implement user search by email phone id and read-only profile pages,Build,PRD,Section 6 Users,MVP,P1,,Not Started,DES-ADM-004;DEV-ADM-001,PR plus search index strategy,Search returns accurate user records quickly,,
DEV-ADM-004,EPIC-MVP,Development,Web admin,Linkage and KYC,Implement read-only linkage identifiers KYC status and last sync views,Build,PRD,Section 6 Linkage + FR-43,MVP,P1,,Not Started,DES-ADM-004;DEV-KYC-004;DEV-CW-003,PR plus integration tests,Support sees consistent KYC and linkage states,,
DEV-ADM-005,EPIC-MVP,Development,Web admin,History FR-46,Implement global and per-user investment history with pagination and filters,Build,PRD,FR-46,MVP,P1,,Not Started,DES-ADM-005;DEV-ADM-001,PR plus query performance checks,Filter and pagination behavior matches design and PRD,,
DEV-ADM-006,EPIC-MVP,Development,Web admin,Products FR-47,Implement product offerings view performance stats and mobile visibility toggles,Build,PRD,FR-47,MVP,P1,,Not Started,DES-ADM-006;DEV-CAT-001,PR plus sync update jobs,Toggle state correctly controls app-facing catalog visibility,,
DEV-ADM-007,EPIC-MVP,Development,Web admin,Support Notes,Implement support notes with author attribution and timestamps,Build,ERD,SUPPORT_NOTE,MVP,P1,,Not Started,DES-ADM-007;DB-002,PR plus API docs,Support notes are append-only and searchable per user,,
DEV-ADM-008,EPIC-MVP,Development,Web admin,Escalation,Implement escalation ticket reference workflow and external ticket id storage,Build,Flowcharts,Section 5 Escalate,MVP,P1,,Not Started,DES-ADM-007;DEV-ADM-007,PR plus event hooks,Escalations link to user and include audit references,,
DEV-ADM-009,EPIC-MVP,Development,Web admin,Audit Log,Implement immutable admin action audit logging for sensitive operations,Build,PRD,Section 6 Activity log,MVP,P1,,Not Started,DEV-ADM-001;DB-002,PR plus audit schema tests,AUDIT_LOG captures actor action target and timestamp,,
DEV-ADM-010,EPIC-MVP,Development,Web admin,Config Flags,Implement non-secret feature flag management with role restrictions,Build,PRD,Section 6 Config,MVP,P2,,Not Started,DEV-ADM-001,PR plus permission tests,Only permitted admins can change non-secret flags,,
QA-ADM-001,EPIC-MVP,QA,Web admin,Auth and RBAC,Test staff login access control session timeout and forbidden routes,Test,PRD,Section 6 Auth + RBAC,MVP,P1,,Not Started,DEV-ADM-001,Security QA report,RBAC enforced with no privilege escalation paths,,
QA-ADM-002,EPIC-MVP,QA,Web admin,Dashboard FR-45,Test aggregate metrics accuracy refresh behavior and empty states,Test,PRD,FR-45,MVP,P1,,Not Started,DEV-ADM-002,Test report,Metrics align to source and update rules,,
QA-ADM-003,EPIC-MVP,QA,Web admin,User Support View,Test user search profile linkage KYC and support notes workflows,Test,PRD,Section 6 Users Linkage Support,MVP,P1,,Not Started,DEV-ADM-003;DEV-ADM-004;DEV-ADM-007,Test report,Support can complete lookup workflow without blockers,,
QA-ADM-004,EPIC-MVP,QA,Web admin,History FR-46,Test global and per-user transaction history filters sorting and pagination,Test,PRD,FR-46,MVP,P1,,Not Started,DEV-ADM-005,Test report,History queries return correct records across filters,,
QA-ADM-005,EPIC-MVP,QA,Web admin,Products FR-47,Test product visibility toggle behavior and admin metadata edits,Test,PRD,FR-47,MVP,P1,,Not Started,DEV-ADM-006,Test report,Toggles reflect correctly in app catalog,,
QA-ADM-006,EPIC-MVP,QA,Web admin,Audit and Escalation,Test audit immutability escalation references and compliance exports,Test,PRD,Section 6 Activity log + Flowchart 5,MVP,P1,,Not Started,DEV-ADM-008;DEV-ADM-009,Compliance QA report,All critical actions are traceable and exportable,,
FLO-004-CHECK,EPIC-MVP,Documentation,Flowchart,Flow 4,System context diagram reflected in deployment and integrations,Doc Check,Flowcharts,Section 4,MVP,P0,,Not Started,DOC-FLOW-COVERAGE,Architecture note,Mobile admin backend PhlipVerify Cowrywise boundaries clear,,
FLO-005-CHECK,EPIC-MVP,Documentation,Flowchart,Flow 5,Admin support lookup flow covered by admin design and dev,Doc Check,Flowcharts,Section 5,MVP,P1,,Not Started,FLO-004-CHECK,Checklist,Escalation and flags paths covered,,
DES-PAY-001,EPIC-MVP,Design,Payments,Outbound UX,Design user-visible retry and error messaging for invest withdraw ops,Design,PRD,NFR + Flowchart 7,MVP,P0,,Not Started,DES-INV-001;DES-WDR-001,Copy patterns,Align with backoff and support message,,
DEV-PAY-001,EPIC-MVP,Development,Payments,Outbound,Implement outbound payment flow: validate audit idempotency retry DLQ Flow 7,Build,Flowcharts,Section 7,MVP,P0,,Not Started,DEV-INV-001;DEV-WDR-001,PR plus worker tests,Transient retry permanent user message exhausted alert,,
DEV-WH-001,EPIC-MVP,Development,Webhooks,Inbound,Inbound webhooks signature dedupe apply audit Flow 8,Build,Flowcharts,Section 8,MVP,P0,,Not Started,,PR plus tests,Cowrywise and PhlipVerify events handled idempotently,,
QA-PAY-001,EPIC-MVP,QA,Payments,Outbound Inbound,Test Flow 7 and Flow 8 failure and duplicate paths,Test,Flowcharts,Sections 7-8,MVP,P0,,Not Started,DEV-PAY-001;DEV-WH-001,Test report,Audit trail complete,,
FLO-006-CHECK,EPIC-MVP,Documentation,Flowchart,Flow 6,Payments services diagram: queue workers audit observability,Doc Check,Flowcharts,Section 6,MVP,P0,,Not Started,DOC-FLOW-COVERAGE,Checklist,All boxes have owning components,,
DB-001,EPIC-MVP,Development,Data model,ERD MVP,Schema migrations APP_USER USER_PROFILE IDENTITY_VERIFICATION COWRYWISE_LINKAGE CONSENT_RECORD IDEMPOTENCY_KEY SYNC_CURSOR DEVICE_SESSION,Build,ERD,MVP entities,MVP,P0,,Not Started,,Migration repo,Tables match ERD,,
DB-002,EPIC-MVP,Development,Data model,Support,ADMIN_USER AUDIT_LOG SUPPORT_NOTE,Build,ERD,Admin entities,MVP,P1,,Not Started,DB-001,Migrations,FKs and indexes,,
DB-003,EPIC-MVP,Development,Data model,Optional cache,CACHED_TRANSACTION CACHED_POSITION if MVP plus offline reads,Build,PRD,Section 8.2 optional,MVP,P2,,Not Started,DEV-PORT-001,Design note,TTL and sync documented,,
DEV-NFR-001,EPIC-MVP,Development,Platform,NFR,Observability structured logs metrics tracing alerts PRD Section 9,Build,PRD,Section 9,MVP,P1,,Not Started,,Dashboards,Error rate and Cowrywise latency alerted,,
DEV-NFR-002,EPIC-MVP,Development,Platform,NFR,Availability degraded mode cached balance disclaimer PRD Section 9,Build,PRD,Section 9,MVP,P2,,Not Started,DEV-NFR-001,Runbook,Read path degrades safely,,
QA-NFR-001,EPIC-MVP,QA,Platform,Load,Performance spot check dashboard and portfolio SLA PRD Section 9,Test,PRD,Section 9,MVP,P2,,Not Started,DEV-NFR-001,Load test summary,Within agreed SLA sample,,
MTR-001,EPIC-MVP,Documentation,Analytics,Metrics,Instrument activation funding engagement AUM metrics PRD Section 10,Doc Check,PRD,Section 10,MVP,P2,,Not Started,,Analytics spec,Events map to Section 10,,
COMP-NDPR-001,EPIC-MVP,Compliance,Legal,NDPR,Data minimisation retention policy user rights process PRD 3.2,Review,PRD,Section 3.2,MVP,P0,,Not Started,DOC-OPEN-ITEMS,Policy doc,Aligned with implementation,,
REL-MVP-001,EPIC-MVP,Release,Program,Go-live,MVP go no-go: all P0 doc QA and compliance gates,Release,All,MVP,MVP,P0,,Not Started,DOC-PRD-COVERAGE;DOC-FLOW-COVERAGE;DOC-ERD-COVERAGE;DOC-OPEN-ITEMS;QA-SEC-001;COMP-NDPR-001,Go-no-go checklist,Sign-off recorded,,
DES-PH2-AS-001,EPIC-PH2,Design,Auto-Save,FR-29-32,Design Auto-Save rules consent failure and history UX,Design,PRD,FR-29 FR-30 FR-31 FR-32,Phase 2,P2,,Not Started,,Figma flows,Pause cancel low friction,,
DEV-PH2-AS-001,EPIC-PH2,Development,Auto-Save,Rules,Implement AUTOSAVE_RULE and lifecycle Flow 9 FR-29 to FR-32,Build,PRD + Flowcharts,4.9 + Section 9,Phase 2,P2,,Not Started,DES-PH2-AS-001,PR plus scheduler,Idempotent audited executions,,
QA-PH2-AS-001,EPIC-PH2,QA,Auto-Save,FR-29-32,Test Auto-Save flows and audit,Test,PRD,FR-29 to FR-32,Phase 2,P2,,Not Started,DEV-PH2-AS-001,Test report,Failures surface with policy,,
FLO-009-CHECK,EPIC-PH2,Documentation,Flowchart,Flow 9,Auto-Save lifecycle mapped to implementation,Doc Check,Flowcharts,Section 9,Phase 2,P2,,Not Started,DOC-FLOW-COVERAGE,Checklist,Rule create to execution traced,,
DES-PH2-CR-001,EPIC-PH2,Design,Credit,FR-33-38,Design eligibility drawdown schedule overdraft vs loan auto-repay,Design,PRD,FR-33 to FR-38,Phase 2,P2,,Not Started,,Figma plus legal copy placeholders,Distinct loan vs overdraft UX,,
DEV-PH2-CR-001,EPIC-PH2,Development,Credit,Integration,CREDIT_FACILITY_CACHE and partner APIs FR-33 to FR-38 Flow 10,Build,PRD + ERD,4.10 + Section 10,Phase 2,P2,,Not Started,DES-PH2-CR-001,PR plus audit,Immutable audit for credit events,,
QA-PH2-CR-001,EPIC-PH2,QA,Credit,FR-33-38,Test credit lifecycle and FR-38 consent revoke where permitted,Test,PRD,FR-33 to FR-38,Phase 2,P2,,Not Started,DEV-PH2-CR-001,Test report,No client-side limit fabrication,,
FLO-010-CHECK,EPIC-PH2,Documentation,Flowchart,Flow 10,Lending flow mapped to implementation,Doc Check,Flowcharts,Section 10,Phase 2,P2,,Not Started,DOC-FLOW-COVERAGE,Checklist,Draw to repay audited,,
DOC-PRD-SEC11,EPIC-MVP,Documentation,Product,Section 11,Marketing labels match live API products regulatory disclosures,Doc Check,PRD,Section 11,MVP,P2,,Not Started,,Copy review log,No overclaim vs API,,
