Item ID,Parent ID,Workstream,Area,Feature/Module,Task Title,Task Type,Source Document,Source Ref,Phase,Priority,Owner,Status,Dependencies,Deliverable Or Evidence,Acceptance Criteria,Notes
DEV-ADM-015,ADM-EPIC-003,Development,Web admin,Non-secret Config Flags,Implement feature flag management with strict role checks and audit logs,Build,PRD,Section 6 Config,MVP,P2,,Not Started,DEV-ADM-004;DEV-ADM-005,PR plus permission tests,Only allowed roles can change flags and all changes are audited,,
DEV-ADM-016,ADM-EPIC-003,Development,Web admin,Product Configuration Controls,Implement product-level configuration controls for visibility featured flag display order marketing label and maintenance hide,Build,PRD,FR-47 + Section 6 Product Offerings,MVP,P1,,Not Started,DEV-ADM-014;DEV-ADM-005,PR plus config endpoints and audit logs,Configured product settings reflect in mobile catalog behavior and are fully audited,,
ADM-EPIC-004,EPIC-MVP,Program,Web admin,Investment Operations,Investment request monitoring wallet balances and investment progress tracking,Epic,PRD,FR-45 FR-46 + Section 6,MVP,P0,,Not Started,,Implementation milestone,All investment operations tickets complete and validated,,
DEV-ADM-017,ADM-EPIC-004,Development,Web admin,Investment Requests Queue,Implement all investment requests list with statuses pending processing success failed cancelled and retry markers,Build,PRD,FR-46 + Flowcharts Section 7,MVP,P0,,Not Started,DEV-ADM-011;DEV-ADM-005,PR plus query endpoints and status mapping,Ops can view every investment request and current processing state end to end,,
DEV-ADM-018,ADM-EPIC-004,Development,Web admin,Investment Request Detail,Implement investment request detail page with user product amount timestamps provider refs errors retries and audit trail,Build,PRD,FR-46 + Flowcharts Section 7,MVP,P0,,Not Started,DEV-ADM-017,PR plus detail endpoint,Each request has a complete drill-down timeline for support and ops,,
DEV-ADM-019,ADM-EPIC-004,Development,Web admin,Wallet Balance Visibility,Implement global and per-user wallet balance views with as-of timestamp and stale-data indicator,Build,PRD,FR-11 + Section 6 Dashboard Users,MVP,P0,,Not Started,DEV-ADM-006;DEV-ADM-008,PR plus balance source mapping,Admins can reliably see wallet balances and freshness of data,,
DEV-ADM-020,ADM-EPIC-004,Development,Web admin,Investment Progress Tracker,Implement investment lifecycle tracker from requested to processing to invested to settled or failed with reasons,Build,PRD,FR-16 FR-17 FR-46 + Flowcharts 1 7,MVP,P0,,Not Started,DEV-ADM-017;DEV-ADM-018,PR plus status timeline UI and API,Ops can track progress for every investment without ambiguity,,
QA-ADM-001,ADM-EPIC-001,QA,Web admin,Auth and Staff Management,Test admin login MFA lockout session timeout staff invite activate suspend and password reset,Test,PRD,Section 6 Auth,MVP,P0,,Not Started,DEV-ADM-001;DEV-ADM-002;DEV-ADM-003,Security QA report,All auth and staff lifecycle paths pass with RBAC enforced,,
QA-ADM-002,ADM-EPIC-001,QA,Web admin,RBAC and Audit,Test permission matrix for all roles and validate immutable audit events for critical actions,Test,PRD,Section 6 RBAC + Activity log,MVP,P0,,Not Started,DEV-ADM-004;DEV-ADM-005,Compliance QA report,No privilege escalation and audit completeness is verified,,
QA-ADM-003,ADM-EPIC-002,QA,Web admin,Customer Directory and Detail,Test customer search filters detail page rendering KYC panel and linkage panel accuracy,Test,PRD,Section 6 Users + Linkage + FR-43,MVP,P0,,Not Started,DEV-ADM-007;DEV-ADM-008;DEV-ADM-009;DEV-ADM-010,Test report,Support can complete full lookup workflow without data mismatch,,
QA-ADM-004,ADM-EPIC-002,QA,Web admin,History Notes and Escalation,Test transaction history filters support notes append-only behavior and escalation flow linkage,Test,PRD,FR-46 + Flowchart 5,MVP,P1,,Not Started,DEV-ADM-011;DEV-ADM-012;DEV-ADM-013,Test report,History and support workflows are reliable and traceable,,
QA-ADM-005,ADM-EPIC-003,QA,Web admin,Catalog and Config Controls,Test all products listing product configuration controls visibility toggles metadata updates and feature flag restrictions,Test,PRD,FR-47 + Section 6 Config,MVP,P1,,Not Started,DEV-ADM-014;DEV-ADM-015;DEV-ADM-016,Test report,Changes propagate correctly and unauthorized changes are blocked,,
QA-ADM-006,ADM-EPIC-004,QA,Web admin,Investment Requests and Progress,Test investment requests queue detail retry markers lifecycle tracking and failure reasons,Test,PRD,FR-46 + Flowcharts Section 7,MVP,P0,,Not Started,DEV-ADM-017;DEV-ADM-018;DEV-ADM-020,Test report,Investment operations team can track every request confidently,,
QA-ADM-007,ADM-EPIC-004,QA,Web admin,Wallet Balances,Test global and per-user wallet balance visibility timestamps and stale indicators,Test,PRD,FR-11 + Section 6 Dashboard Users,MVP,P0,,Not Started,DEV-ADM-019,Test report,Displayed balances align with source of truth and freshness rules,,
DOC-ADM-001,ADM-EPIC-001,Documentation,Web admin,Access Matrix,Document final admin roles permissions and action ownership matrix,Doc Check,PRD,Section 6 RBAC,MVP,P0,,Not Started,DEV-ADM-004,RBAC matrix document,Approved matrix matches implementation and QA coverage,,
DOC-ADM-002,ADM-EPIC-002,Documentation,Web admin,Support SOP,Document SOP for customer lookup KYC investigation linkage issues and escalation handoff,Doc Check,Flowcharts,Section 5 + PRD Section 6,MVP,P1,,Not Started,DEV-ADM-013,Support operations runbook,Support team can follow SOP without engineering intervention,,
DOC-ADM-003,ADM-EPIC-004,Documentation,Web admin,Investment Ops SOP,Document SOP for investment request monitoring wallet balance verification and progress tracking investigation,Doc Check,PRD + Flowcharts,FR-11 FR-46 + Section 7,MVP,P0,,Not Started,DEV-ADM-020,Investment operations runbook,Ops can resolve stuck or failed investments using standard process,,
FLO-005-CHECK,ADM-EPIC-002,Documentation,Flowchart,Admin Support Flow,Validate flowchart section 5 is fully mapped to implemented tickets,Doc Check,Flowcharts,Section 5,MVP,P1,,Not Started,DOC-ADM-002,Traceability checklist,No step in admin support flow is unmapped,,
